iter	Passed	Remaining
0	2	10498
1	4	10677
2	6	10428
3	8	10218
4	10	10036
5	11	9923
6	13	9807
7	15	9981
8	17	9912
9	19	9908
10	21	9857
11	23	9792
12	26	10349
13	28	10272
14	30	10186
15	32	10136
16	34	10227
17	66	18382
18	68	17892
19	70	17442
20	71	17047
21	73	16688
22	75	16443
23	77	16137
24	79	15851
25	81	15602
26	83	15345
27	85	15160
28	87	14954
29	89	14806
30	90	14570
31	92	14398
32	94	14248
33	96	14123
34	98	13972
35	100	13840
36	102	13702
37	104	13623
38	106	13498
39	107	13383
40	109	13265
41	111	13174
42	113	13118
43	115	13038
44	117	12942
45	119	12860
46	121	12781
47	123	12725
48	125	12654
49	127	12623
50	128	12500
51	130	12449
52	132	12396
53	134	12335
54	136	12281
55	138	12222
56	140	12158
57	142	12144
58	144	12118
59	147	12113
60	149	12090
61	151	12090
62	154	12069
63	156	12083
64	158	12063
65	161	12065
66	163	12001
67	164	11966
68	166	11928
69	168	11893
70	172	11960
71	174	11935
72	176	11898
73	178	11867
74	180	11866
75	182	11851
76	185	11866
77	187	11858
78	190	11840
79	192	11828
80	194	11799
81	196	11770
82	199	11832
83	202	11857
84	204	11848
85	206	11826
86	209	11851
87	212	11838
88	213	11807
89	215	11778
90	221	11936
91	223	11937
92	233	12296
93	235	12308
94	237	12265
95	240	12276
96	242	12244
97	244	12210
98	246	12178
99	248	12163
100	250	12132
101	252	12105
102	253	12072
103	256	12066
104	258	12049
105	260	12020
106	262	11993
107	264	11990
108	268	12041
109	270	12016
110	272	11992
111	274	11962
112	276	11950
113	278	11934
114	280	11923
115	282	11898
116	284	11881
117	286	11863
118	288	11841
119	290	11816
120	292	11775
121	295	11795
122	296	11773
123	298	11747
124	300	11707
125	302	11686
126	305	11713
127	307	11692
128	309	11669
129	310	11646
130	312	11625
131	315	11633
132	317	11613
133	319	11591
134	321	11568
135	324	11591
136	326	11577
137	328	11558
138	329	11538
139	331	11518
140	334	11517
141	336	11504
142	338	11499
143	340	11487
144	342	11481
145	344	11467
146	347	11463
147	349	11447
148	351	11428
149	353	11425
150	355	11419
151	357	11402
152	358	11372
153	361	11365
154	363	11364
155	365	11343
156	367	11330
157	368	11295
158	370	11283
159	372	11282
160	375	11273
161	376	11256
162	378	11239
163	381	11248
164	383	11247
165	385	11229
166	387	11214
167	389	11204
168	391	11199
169	393	11193
170	395	11179
171	397	11167
172	401	11210
173	403	11200
174	405	11184
175	407	11170
176	409	11147
177	411	11137
178	413	11124
179	414	11112
180	416	11096
181	418	11089
182	420	11077
183	422	11067
184	424	11054
185	426	11042
186	428	11030
187	430	11025
188	432	11013
189	434	11003
190	436	10989
191	438	10984
192	440	10981
193	442	10970
194	445	10968
195	447	10969
196	450	10973
197	452	10966
198	453	10943
199	455	10929
200	457	10927
201	460	10935
202	462	10925
203	464	10917
204	466	10903
205	468	10903
206	470	10898
207	472	10886
208	474	10876
209	476	10875
210	479	10887
211	481	10877
212	483	10866
213	485	10854
214	487	10847
215	489	10843
216	491	10834
217	493	10823
218	495	10822
219	497	10818
220	499	10808
221	501	10797
222	503	10786
223	505	10785
224	508	10783
225	510	10774
226	511	10749
227	513	10738
228	515	10736
229	517	10732
230	519	10726
231	522	10737
232	524	10736
233	527	10733
234	528	10725
235	530	10714
236	532	10703
237	534	10698
238	536	10694
239	539	10693
240	541	10693
241	543	10688
242	545	10680
243	547	10671
244	549	10662
245	551	10653
246	553	10649
247	556	10665
248	559	10673
249	561	10665
250	564	10684
251	566	10674
252	568	10664
253	570	10653
254	573	10667
255	575	10656
256	576	10648
257	578	10631
258	580	10621
259	582	10619
260	584	10612
261	586	10603
262	588	10594
263	590	10585
264	592	10580
265	594	10573
266	595	10564
267	597	10555
268	599	10544
269	601	10537
270	603	10530
271	605	10521
272	607	10512
273	608	10502
274	611	10500
275	613	10493
276	614	10484
277	616	10476
278	618	10468
279	620	10464
280	622	10460
281	624	10452
282	626	10446
283	628	10437
284	630	10432
285	632	10429
286	634	10421
287	636	10414
288	638	10406
289	641	10412
290	643	10406
291	644	10396
292	646	10386
293	648	10379
294	650	10370
295	652	10366
296	654	10359
297	656	10351
298	659	10375
299	662	10375
300	664	10370
301	665	10352
302	667	10344
303	670	10355
304	671	10344
305	674	10346
306	677	10351
307	680	10363
308	682	10356
309	684	10348
310	685	10341
311	688	10351
312	690	10345
313	692	10328
314	693	10319
315	695	10313
316	698	10322
317	700	10315
318	701	10299
319	703	10291
320	705	10284
321	708	10298
322	711	10295
323	713	10290
324	714	10282
325	717	10281
326	719	10278
327	720	10267
328	722	10263
329	724	10259
330	728	10272
331	730	10267
332	732	10261
333	734	10256
334	737	10274
335	740	10283
336	743	10281
337	746	10293
338	748	10289
339	750	10285
340	752	10279
341	755	10293
342	757	10290
343	759	10285
344	761	10280
345	765	10298
346	767	10296
347	770	10301
348	772	10300
349	776	10315
350	778	10314
351	780	10311
352	782	10305
353	784	10300
354	787	10301
355	789	10297
356	790	10286
357	792	10281
358	795	10288
359	797	10282
360	799	10275
361	801	10269
362	803	10266
363	805	10260
364	807	10256
365	809	10255
366	813	10273
367	815	10270
368	817	10260
369	819	10253
370	821	10247
371	824	10255
372	826	10254
373	828	10251
374	830	10244
375	833	10253
376	835	10249
377	837	10241
378	839	10235
379	842	10242
380	844	10238
381	846	10231
382	848	10226
383	850	10220
384	852	10221
385	854	10217
386	856	10212
387	858	10206
388	861	10212
389	863	10211
390	865	10206
391	867	10202
392	870	10209
393	873	10207
394	875	10205
395	877	10199
396	879	10201
397	881	10196
398	883	10190
